Div Name,School Name,Sch Type,"LowGrade","HighGrade",Subject,PassRate
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,History & Social Sciences,67
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,Mathematics,22
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,Science,76
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,English: Reading,88
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,English: Writing,88
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,History & Social Sciences,83
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,Mathematics,73
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,Science,83
ALBEMARLE CO PBLC SCHS,BAKER-BUTLER ELEM,Elem,PK,5,English: Reading,82
ALBEMARLE CO PBLC SCHS,BAKER-BUTLER ELEM,Elem,PK,5,History & Social Sciences,91
ALBEMARLE CO PBLC SCHS,BAKER-BUTLER ELEM,Elem,PK,5,Mathematics,86
ALBEMARLE CO PBLC SCHS,BAKER-BUTLER ELEM,Elem,PK,5,Science,73
ALBEMARLE CO PBLC SCHS,BENJAMIN F. YANCEY ELEM,Elem,KG,5,English: Reading,41
ALBEMARLE CO PBLC SCHS,BENJAMIN F. YANCEY ELEM,Elem,KG,5,History & Social Sciences,53
ALBEMARLE CO PBLC SCHS,BENJAMIN F. YANCEY ELEM,Elem,KG,5,Mathematics,44
ALBEMARLE CO PBLC SCHS,BENJAMIN F. YANCEY ELEM,Elem,KG,5,Science,38
ALBEMARLE CO PBLC SCHS,BROADUS WOOD ELEM,Elem,PK,5,English: Reading,84
ALBEMARLE CO PBLC SCHS,BROADUS WOOD ELEM,Elem,PK,5,History & Social Sciences,78
ALBEMARLE CO PBLC SCHS,BROADUS WOOD ELEM,Elem,PK,5,Mathematics,74
ALBEMARLE CO PBLC SCHS,BROADUS WOOD ELEM,Elem,PK,5,Science,83
ALBEMARLE CO PBLC SCHS,BROWNSVILLE ELEM,Elem,PK,5,English: Reading,89
ALBEMARLE CO PBLC SCHS,BROWNSVILLE ELEM,Elem,PK,5,History & Social Sciences,92
ALBEMARLE CO PBLC SCHS,BROWNSVILLE ELEM,Elem,PK,5,Mathematics,89
ALBEMARLE CO PBLC SCHS,BROWNSVILLE ELEM,Elem,PK,5,Science,88
ALBEMARLE CO PBLC SCHS,CROZET ELEM,Elem,KG,5,English: Reading,77
ALBEMARLE CO PBLC SCHS,CROZET ELEM,Elem,KG,5,History & Social Sciences,85
ALBEMARLE CO PBLC SCHS,CROZET ELEM,Elem,KG,5,Mathematics,76
ALBEMARLE CO PBLC SCHS,CROZET ELEM,Elem,KG,5,Science,76
ALBEMARLE CO PBLC SCHS,HOLLYMEAD ELEM,Elem,PK,5,English: Reading,91
ALBEMARLE CO PBLC SCHS,HOLLYMEAD ELEM,Elem,PK,5,History & Social Sciences,88
ALBEMARLE CO PBLC SCHS,HOLLYMEAD ELEM,Elem,PK,5,Mathematics,90
ALBEMARLE CO PBLC SCHS,HOLLYMEAD ELEM,Elem,PK,5,Science,89
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,English: Reading,67
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,English: Writing,71
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,History & Social Sciences,85
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,Mathematics,77
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,Science,68
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,English: Reading,77
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,English: Writing,72
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,History & Social Sciences,81
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,Mathematics,81
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,Science,74
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,English: Reading,88
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,English: Writing,91
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,History & Social Sciences,93
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,Mathematics,91
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,Science,93
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,English: Reading,66
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,English: Writing,62
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,History & Social Sciences,74
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,Mathematics,76
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,Science,77
ALBEMARLE CO PBLC SCHS,MARY CARR GREER ELEM,Elem,PK,5,English: Reading,63
ALBEMARLE CO PBLC SCHS,MARY CARR GREER ELEM,Elem,PK,5,History & Social Sciences,72
ALBEMARLE CO PBLC SCHS,MARY CARR GREER ELEM,Elem,PK,5,Mathematics,63
ALBEMARLE CO PBLC SCHS,MARY CARR GREER ELEM,Elem,PK,5,Science,51
ALBEMARLE CO PBLC SCHS,MERIWETHER LEWIS ELEM,Elem,KG,5,English: Reading,88
ALBEMARLE CO PBLC SCHS,MERIWETHER LEWIS ELEM,Elem,KG,5,History & Social Sciences,86
ALBEMARLE CO PBLC SCHS,MERIWETHER LEWIS ELEM,Elem,KG,5,Mathematics,85
ALBEMARLE CO PBLC SCHS,MERIWETHER LEWIS ELEM,Elem,KG,5,Science,83
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,English: Reading,88
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,English: Writing,79
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,History & Social Sciences,80
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,Mathematics,75
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,Science,87
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,English: Reading,88
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,English: Writing,85
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,History & Social Sciences,95
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,Mathematics,84
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,Science,88
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,English: Reading,91
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,English: Writing,91
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,History & Social Sciences,83
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,Mathematics,78
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,Science,86
ALBEMARLE CO PBLC SCHS,PAUL H. CALE ELEM,Elem,PK,5,English: Reading,62
ALBEMARLE CO PBLC SCHS,PAUL H. CALE ELEM,Elem,PK,5,History & Social Sciences,76
ALBEMARLE CO PBLC SCHS,PAUL H. CALE ELEM,Elem,PK,5,Mathematics,55
ALBEMARLE CO PBLC SCHS,PAUL H. CALE ELEM,Elem,PK,5,Science,61
ALBEMARLE CO PBLC SCHS,RED HILL ELEM,Elem,PK,5,English: Reading,69
ALBEMARLE CO PBLC SCHS,RED HILL ELEM,Elem,PK,5,History & Social Sciences,86
ALBEMARLE CO PBLC SCHS,RED HILL ELEM,Elem,PK,5,Mathematics,72
ALBEMARLE CO PBLC SCHS,RED HILL ELEM,Elem,PK,5,Science,77
ALBEMARLE CO PBLC SCHS,SCOTTSVILLE ELEM,Elem,PK,5,English: Reading,86
ALBEMARLE CO PBLC SCHS,SCOTTSVILLE ELEM,Elem,PK,5,History & Social Sciences,86
ALBEMARLE CO PBLC SCHS,SCOTTSVILLE ELEM,Elem,PK,5,Mathematics,92
ALBEMARLE CO PBLC SCHS,SCOTTSVILLE ELEM,Elem,PK,5,Science,78
ALBEMARLE CO PBLC SCHS,STONE ROBINSON ELEM,Elem,PK,5,English: Reading,72
ALBEMARLE CO PBLC SCHS,STONE ROBINSON ELEM,Elem,PK,5,History & Social Sciences,61
ALBEMARLE CO PBLC SCHS,STONE ROBINSON ELEM,Elem,PK,5,Mathematics,76
ALBEMARLE CO PBLC SCHS,STONE ROBINSON ELEM,Elem,PK,5,Science,56
ALBEMARLE CO PBLC SCHS,STONY POINT ELEM,Elem,KG,5,English: Reading,73
ALBEMARLE CO PBLC SCHS,STONY POINT ELEM,Elem,KG,5,History & Social Sciences,75
ALBEMARLE CO PBLC SCHS,STONY POINT ELEM,Elem,KG,5,Mathematics,75
ALBEMARLE CO PBLC SCHS,STONY POINT ELEM,Elem,KG,5,Science,72
ALBEMARLE CO PBLC SCHS,VIRGINIA L. MURRAY ELEM,Elem,PK,5,English: Reading,91
ALBEMARLE CO PBLC SCHS,VIRGINIA L. MURRAY ELEM,Elem,PK,5,History & Social Sciences,93
ALBEMARLE CO PBLC SCHS,VIRGINIA L. MURRAY ELEM,Elem,PK,5,Mathematics,95
ALBEMARLE CO PBLC SCHS,VIRGINIA L. MURRAY ELEM,Elem,PK,5,Science,93
ALBEMARLE CO PBLC SCHS,WESTERN ALBEMARLE HIGH,High,9,12,English: Reading,98
ALBEMARLE CO PBLC SCHS,WESTERN ALBEMARLE HIGH,High,9,12,English: Writing,93
ALBEMARLE CO PBLC SCHS,WESTERN ALBEMARLE HIGH,High,9,12,History & Social Sciences,91
ALBEMARLE CO PBLC SCHS,WESTERN ALBEMARLE HIGH,High,9,12,Mathematics,82
ALBEMARLE CO PBLC SCHS,WESTERN ALBEMARLE HIGH,High,9,12,Science,92
ALBEMARLE CO PBLC SCHS,WOODBROOK ELEM,Elem,PK,5,English: Reading,80
ALBEMARLE CO PBLC SCHS,WOODBROOK ELEM,Elem,PK,5,History & Social Sciences,79
ALBEMARLE CO PBLC SCHS,WOODBROOK ELEM,Elem,PK,5,Mathematics,74
ALBEMARLE CO PBLC SCHS,WOODBROOK ELEM,Elem,PK,5,Science,65
ALEXANDRIA,CHARLES BARRETT ELEM,Elem,PK,5,English: Reading,89
ALEXANDRIA,CHARLES BARRETT ELEM,Elem,PK,5,History & Social Sciences,95
ALEXANDRIA,CHARLES BARRETT ELEM,Elem,PK,5,Mathematics,87
ALEXANDRIA,CHARLES BARRETT ELEM,Elem,PK,5,Science,88
ALEXANDRIA,CORA KELLY MAGNET ELEM,Elem,PK,5,English: Reading,76
ALEXANDRIA,CORA KELLY MAGNET ELEM,Elem,PK,5,History & Social Sciences,70
ALEXANDRIA,CORA KELLY MAGNET ELEM,Elem,PK,5,Mathematics,79
ALEXANDRIA,CORA KELLY MAGNET ELEM,Elem,PK,5,Science,46
ALEXANDRIA,DOUGLAS MACARTHUR ELEM,Elem,KG,5,English: Reading,76
ALEXANDRIA,DOUGLAS MACARTHUR ELEM,Elem,KG,5,History & Social Sciences,84
ALEXANDRIA,DOUGLAS MACARTHUR ELEM,Elem,KG,5,Mathematics,72
ALEXANDRIA,DOUGLAS MACARTHUR ELEM,Elem,KG,5,Science,73
ALEXANDRIA,FRANCIS C. HAMMOND MIDDLE,Middle,6,8,English: Reading,68
ALEXANDRIA,FRANCIS C. HAMMOND MIDDLE,Middle,6,8,English: Writing,63
ALEXANDRIA,FRANCIS C. HAMMOND MIDDLE,Middle,6,8,History & Social Sciences,89
ALEXANDRIA,FRANCIS C. HAMMOND MIDDLE,Middle,6,8,Mathematics,69
ALEXANDRIA,FRANCIS C. HAMMOND MIDDLE,Middle,6,8,Science,67
ALEXANDRIA,GEORGE MASON ELEM,Elem,KG,5,English: Reading,81
ALEXANDRIA,GEORGE MASON ELEM,Elem,KG,5,History & Social Sciences,93
ALEXANDRIA,GEORGE MASON ELEM,Elem,KG,5,Mathematics,78
ALEXANDRIA,GEORGE MASON ELEM,Elem,KG,5,Science,79
ALEXANDRIA,GEORGE WASHINGTON MIDDLE,Middle,6,8,English: Reading,76
ALEXANDRIA,GEORGE WASHINGTON MIDDLE,Middle,6,8,English: Writing,70
ALEXANDRIA,GEORGE WASHINGTON MIDDLE,Middle,6,8,History & Social Sciences,80
ALEXANDRIA,GEORGE WASHINGTON MIDDLE,Middle,6,8,Mathematics,72
ALEXANDRIA,GEORGE WASHINGTON MIDDLE,Middle,6,8,Science,71
ALEXANDRIA,JAMES K. POLK ELEM,Elem,KG,5,English: Reading,71
ALEXANDRIA,JAMES K. POLK ELEM,Elem,KG,5,History & Social Sciences,80
ALEXANDRIA,JAMES K. POLK ELEM,Elem,KG,5,Mathematics,73
ALEXANDRIA,JAMES K. POLK ELEM,Elem,KG,5,Science,78
ALEXANDRIA,JEFFERSON-HOUSTON ELEM,Combined,PK,8,English: Reading,60
ALEXANDRIA,JEFFERSON-HOUSTON ELEM,Combined,PK,8,English: Writing,40
ALEXANDRIA,JEFFERSON-HOUSTON ELEM,Combined,PK,8,History & Social Sciences,58
ALEXANDRIA,JEFFERSON-HOUSTON ELEM,Combined,PK,8,Mathematics,63
ALEXANDRIA,JEFFERSON-HOUSTON ELEM,Combined,PK,8,Science,57
ALEXANDRIA,JOHN ADAMS ELEM,Elem,PK,5,English: Reading,74
ALEXANDRIA,JOHN ADAMS ELEM,Elem,PK,5,History & Social Sciences,91
ALEXANDRIA,JOHN ADAMS ELEM,Elem,PK,5,Mathematics,59
ALEXANDRIA,JOHN ADAMS ELEM,Elem,PK,5,Science,58
ALEXANDRIA,LYLES-CROUCH ELEM,Elem,KG,5,English: Reading,95
ALEXANDRIA,LYLES-CROUCH ELEM,Elem,KG,5,History & Social Sciences,97
ALEXANDRIA,LYLES-CROUCH ELEM,Elem,KG,5,Mathematics,92
ALEXANDRIA,LYLES-CROUCH ELEM,Elem,KG,5,Science,92
ALEXANDRIA,MAURY ELEM,Elem,KG,5,English: Reading,83
ALEXANDRIA,MAURY ELEM,Elem,KG,5,History & Social Sciences,90
ALEXANDRIA,MAURY ELEM,Elem,KG,5,Mathematics,82
ALEXANDRIA,MAURY ELEM,Elem,KG,5,Science,77
ALEXANDRIA,MOUNT VERNON ELEM,Elem,PK,5,English: Reading,65
ALEXANDRIA,MOUNT VERNON ELEM,Elem,PK,5,History & Social Sciences,87
ALEXANDRIA,MOUNT VERNON ELEM,Elem,PK,5,Mathematics,70
ALEXANDRIA,MOUNT VERNON ELEM,Elem,PK,5,Science,59
ALEXANDRIA,PATRICK HENRY ELEM,Elem,KG,5,English: Reading,79
ALEXANDRIA,PATRICK HENRY ELEM,Elem,KG,5,History & Social Sciences,88
ALEXANDRIA,PATRICK HENRY ELEM,Elem,KG,5,Mathematics,84
ALEXANDRIA,PATRICK HENRY ELEM,Elem,KG,5,Science,67
ALEXANDRIA,SAMUEL W. TUCKER ELEM,Elem,KG,5,English: Reading,80
ALEXANDRIA,SAMUEL W. TUCKER ELEM,Elem,KG,5,History & Social Sciences,89
ALEXANDRIA,SAMUEL W. TUCKER ELEM,Elem,KG,5,Mathematics,78
ALEXANDRIA,SAMUEL W. TUCKER ELEM,Elem,KG,5,Science,76
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,English: Reading,79
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,English: Writing,75
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,History & Social Sciences,74
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,Mathematics,59
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,Science,72
ALEXANDRIA,WILLIAM RAMSAY ELEM,Elem,KG,5,English: Reading,59
ALEXANDRIA,WILLIAM RAMSAY ELEM,Elem,KG,5,History & Social Sciences,56
ALEXANDRIA,WILLIAM RAMSAY ELEM,Elem,KG,5,Mathematics,53
ALEXANDRIA,WILLIAM RAMSAY ELEM,Elem,KG,5,Science,42
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,English: Reading,86
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,English: Writing,81
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,History & Social Sciences,85
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,Mathematics,74
ALLEGHANY CO PBLC SCHS,ALLEGHANY HIGH,High,9,12,Science,82
ALLEGHANY CO PBLC SCHS,CALLAGHAN ELEM,Elem,KG,5,English: Reading,74
ALLEGHANY CO PBLC SCHS,CALLAGHAN ELEM,Elem,KG,5,History & Social Sciences,94
ALLEGHANY CO PBLC SCHS,CALLAGHAN ELEM,Elem,KG,5,Mathematics,69
ALLEGHANY CO PBLC SCHS,CALLAGHAN ELEM,Elem,KG,5,Science,81
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,English: Reading,75
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,English: Writing,65
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,History & Social Sciences,91
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,Mathematics,83
ALLEGHANY CO PBLC SCHS,CLIFTON MIDDLE,Middle,6,8,Science,82
ALLEGHANY CO PBLC SCHS,MOUNTAIN VIEW ELEM,Elem,KG,5,English: Reading,68
ALLEGHANY CO PBLC SCHS,MOUNTAIN VIEW ELEM,Elem,KG,5,History & Social Sciences,81
ALLEGHANY CO PBLC SCHS,MOUNTAIN VIEW ELEM,Elem,KG,5,Mathematics,69
ALLEGHANY CO PBLC SCHS,MOUNTAIN VIEW ELEM,Elem,KG,5,Science,71
ALLEGHANY CO PBLC SCHS,SHARON ELEM,Elem,KG,5,English: Reading,70
ALLEGHANY CO PBLC SCHS,SHARON ELEM,Elem,KG,5,History & Social Sciences,94
ALLEGHANY CO PBLC SCHS,SHARON ELEM,Elem,KG,5,Mathematics,79
ALLEGHANY CO PBLC SCHS,SHARON ELEM,Elem,KG,5,Science,74
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSELEM,Elem,PK,4,English: Reading,72
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSELEM,Elem,PK,4,History & Social Sciences,81
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSELEM,Elem,PK,4,Mathematics,78
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,English: Reading,91
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,English: Writing,78
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,History & Social Sciences,86
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,Mathematics,79
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSHIGH,High,9,12,Science,82
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,English: Reading,73
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,English: Writing,63
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,History & Social Sciences,84
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,Mathematics,82
AMELIA CO PBLC SCHS,AMELIA CO PBLC SCHSMIDDLE,Combined,5,8,Science,73
AMHERST CO PBLC SCHS,AMELON ELEM,Elem,PK,5,English: Reading,71
AMHERST CO PBLC SCHS,AMELON ELEM,Elem,PK,5,History & Social Sciences,70
AMHERST CO PBLC SCHS,AMELON ELEM,Elem,PK,5,Mathematics,76
AMHERST CO PBLC SCHS,AMELON ELEM,Elem,PK,5,Science,90
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,English: Reading,84
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,English: Writing,72
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,History & Social Sciences,78
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,Mathematics,70
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,Science,86
AMHERST CO PBLC SCHS,AMHERST ELEM,Elem,PK,5,English: Reading,87
AMHERST CO PBLC SCHS,AMHERST ELEM,Elem,PK,5,History & Social Sciences,91
AMHERST CO PBLC SCHS,AMHERST ELEM,Elem,PK,5,Mathematics,79
AMHERST CO PBLC SCHS,AMHERST ELEM,Elem,PK,5,Science,90
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,English: Reading,79
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,English: Writing,77
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,History & Social Sciences,88
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,Mathematics,79
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,Science,77
AMHERST CO PBLC SCHS,CENTRAL ELEM,Elem,PK,5,English: Reading,62
AMHERST CO PBLC SCHS,CENTRAL ELEM,Elem,PK,5,History & Social Sciences,76
AMHERST CO PBLC SCHS,CENTRAL ELEM,Elem,PK,5,Mathematics,75
AMHERST CO PBLC SCHS,CENTRAL ELEM,Elem,PK,5,Science,79
AMHERST CO PBLC SCHS,ELON ELEM,Elem,PK,5,English: Reading,86
AMHERST CO PBLC SCHS,ELON ELEM,Elem,PK,5,History & Social Sciences,87
