Div. No.,Division Name,School No.,School Name,Low Grade,High Grade,Grade PK,Grade JK,Grade KG,Grade T1,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade PG,Total Full-Time,Part-time Students,Total
2,ALBEMARLE CO PBLC SCHS,1053,BAKER-BUTLER ELEM,PK,5,,,25,,26,20,26,26,20,,,,,,,,,144,,144
2,ALBEMARLE CO PBLC SCHS,900,BENJAMIN F YANCEY ELEM,KG,5,,,12,,15,14,11,15,19,,,,,,,,,86,,86
2,ALBEMARLE CO PBLC SCHS,100,BROADUS WOOD ELEM,PK,5,16,,,,,,,,,,,,,,,,,53,,53
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,PK,5,,,10,,11,11,13,18,10,,,,,,,,,82,,82
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,KG,5,,,12,,16,12,22,16,12,,,,,,,,,90,,90
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,PK,5,12,,,,,11,,,,,,,,,,,,49,,49
2,ALBEMARLE CO PBLC SCHS,950,JACK JOUETT MIDDLE,6,8,,,,,,,,,,76,96,84,,,,,,256,,256
2,ALBEMARLE CO PBLC SCHS,69,JACKSON P BURLEY MIDDLE,6,8,,,,,,,,,,84,67,65,,,,,,216,,216
2,ALBEMARLE CO PBLC SCHS,942,JOSEPH T HENLEY MIDDLE,6,8,,,,,,,,,,35,27,32,,,,,,94,,94
2,ALBEMARLE CO PBLC SCHS,20,LESLIE H WALTON MIDDLE,6,8,,,,,,,,,,42,35,28,,,,,,105,,105
2,ALBEMARLE CO PBLC SCHS,40,MARY CARR GREER ELEM,PK,5,35,,100,,80,97,72,63,58,,,,,,,,,505,,505
2,ALBEMARLE CO PBLC SCHS,250,MERIWETHER LEWIS ELEM,KG,5,,,,,,,,,,,,,,,,,,37,,37
2,ALBEMARLE CO PBLC SCHS,1052,MONTICELLO HIGH,9,12,,,,,,,,,,,,,109,109,76,76,,370,,372
2,ALBEMARLE CO PBLC SCHS,1051,MORTIMER Y SUTHERLAND MIDDLE,6,8,,,,,,,,,,29,27,32,,,,,,88,,88
2,ALBEMARLE CO PBLC SCHS,890,MURRAY HIGH,9,12,,,,,,,,,,,,,10,,,,,20,,21
2,ALBEMARLE CO PBLC SCHS,150,PAUL H CALE ELEM,PK,5,32,,42,,43,53,43,53,28,,,,,,,,,294,,294
2,ALBEMARLE CO PBLC SCHS,540,RED HILL ELEM,PK,5,,,14,,10,,11,,10,,,,,,,,,70,,70
2,ALBEMARLE CO PBLC SCHS,30,SCOTTSVILLE ELEM,PK,5,10,,14,,12,16,12,10,12,,,,,,,,,86,,86
2,ALBEMARLE CO PBLC SCHS,920,STONE ROBINSON ELEM,PK,5,21,,20,,18,14,16,20,18,,,,,,,,,127,,127
2,ALBEMARLE CO PBLC SCHS,240,STONY POINT ELEM,KG,5,,,14,,,11,11,,,,,,,,,,,57,,57
2,ALBEMARLE CO PBLC SCHS,910,VIRGINIA L MURRAY ELEM,PK,5,,,,,,,,,,,,,,,,,,24,,24
2,ALBEMARLE CO PBLC SCHS,140,WESTERN ALBEMARLE HIGH,9,12,,,,,,,,,,,,,25,28,24,17,,94,,95
2,ALBEMARLE CO PBLC SCHS,930,WOODBROOK ELEM,PK,5,17,,28,,26,34,28,28,20,,,,,,,,,181,,181
101,ALEXANDRIA CITY PUBLIC SCHOOLS,120,CHARLES BARRETT ELEM,PK,5,,,22,,27,25,23,22,24,,,,,,,,,146,,146
101,ALEXANDRIA CITY PUBLIC SCHOOLS,160,CORA KELLY MAGNET ELEM,PK,5,,,63,,53,56,36,50,57,,,,,,,,,317,,317
101,ALEXANDRIA CITY PUBLIC SCHOOLS,110,DOUGLAS MACARTHUR ELEM,KG,5,,,38,,42,40,33,46,41,,,,,,,,,240,,240
101,ALEXANDRIA CITY PUBLIC SCHOOLS,140,FRANCIS C. HAMMOND MIDDLE,6,8,,,,,,,,,,392,323,373,,,,,,1088,,1088
101,ALEXANDRIA CITY PUBLIC SCHOOLS,100,GEORGE MASON ELEM,KG,5,,,19,,36,29,15,32,17,,,,,,,,,148,,148
101,ALEXANDRIA CITY PUBLIC SCHOOLS,130,GEORGE WASHINGTON MIDDLE,6,8,,,,,,,,,,216,189,180,,,,,,585,,585
101,ALEXANDRIA CITY PUBLIC SCHOOLS,220,JAMES K POLK ELEM,KG,5,,,101,,86,86,65,95,86,,,,,,,,,519,,519
101,ALEXANDRIA CITY PUBLIC SCHOOLS,90,JEFFERSON-HOUSTON ELEM,PK,8,13,,49,,48,41,30,53,44,35,35,33,,,,,,381,,381
101,ALEXANDRIA CITY PUBLIC SCHOOLS,230,JOHN ADAMS ELEM,PK,5,64,,66,,119,105,110,111,85,,,,,,,,,660,,660
101,ALEXANDRIA CITY PUBLIC SCHOOLS,80,LYLES-CROUCH ELEM,KG,5,,,14,,19,11,15,17,17,,,,,,,,,93,,93
101,ALEXANDRIA CITY PUBLIC SCHOOLS,60,MAURY ELEM,KG,5,,,11,,24,30,15,30,15,,,,,,,,,125,,125
101,ALEXANDRIA CITY PUBLIC SCHOOLS,30,MOUNT VERNON ELEM,PK,5,,,76,,91,70,37,93,85,,,,,,,,,452,,452
101,ALEXANDRIA CITY PUBLIC SCHOOLS,50,PATRICK HENRY ELEM,KG,5,57,,73,,80,71,67,69,58,,,,,,,,,475,,477
101,ALEXANDRIA CITY PUBLIC SCHOOLS,333,SAMUEL W TUCKER ELEM,KG,5,,,86,,88,77,53,71,50,,,,,,,,,425,,425
101,ALEXANDRIA CITY PUBLIC SCHOOLS,210,TC WILLIAMS HIGH,9,12,,,,,,,,,,,,,695,647,548,486,,2376,,2376
101,ALEXANDRIA CITY PUBLIC SCHOOLS,190,WILLIAM RAMSAY ELEM,KG,5,24,,132,,126,135,87,137,119,,,,,,,,,760,,760
3,ALLEGHANY CO PBLC SCHS,310,ALLEGHANY HIGH,9,12,,,,,,,,,,,,,113,104,82,93,,392,,392
3,ALLEGHANY CO PBLC SCHS,110,CALLAGHAN ELEM,KG,5,,,18,,13,18,20,20,17,,,,,,,,,118,,118
3,ALLEGHANY CO PBLC SCHS,1040,CLIFTON MIDDLE,6,8,,,,,,,,,,122,85,119,,,,,,326,,326
3,ALLEGHANY CO PBLC SCHS,1041,MT VIEW ELEM,KG,5,57,19,47,,54,53,56,53,60,,,,,,,,,399,,399
3,ALLEGHANY CO PBLC SCHS,90,SHARON ELEM,KG,5,12,,,,17,14,13,18,,,,,,,,,,97,,97
4,AMELIA CO PBLC SCHS,220,AMELIA COUNTY ELEM,PK,4,23,,60,,68,82,72,76,,,,,,,,,,381,,381
4,AMELIA CO PBLC SCHS,10,AMELIA COUNTY HIGH,9,12,,,,,,,,,,,,,74,67,33,48,,222,,222
4,AMELIA CO PBLC SCHS,210,AMELIA COUNTY MIDDLE,5,8,,,,,,,,,73,59,51,50,,,,,,233,,233
5,AMHERST CO PBLC SCHS,780,AMELON ELEM,PK,5,19,,32,,41,30,39,35,51,,,,,,,,,247,,247
5,AMHERST CO PBLC SCHS,750,AMHERST COUNTY HIGH,9,12,,,,,,,,,,,,,159,125,116,116,,518,,518
5,AMHERST CO PBLC SCHS,790,AMHERST ELEM,PK,5,,,19,,24,16,21,24,15,,,,,,,,,125,,125
5,AMHERST CO PBLC SCHS,670,AMHERST MIDDLE,6,8,,,,,,,,,,40,55,53,,,,,,148,,148
5,AMHERST CO PBLC SCHS,770,CENTRAL ELEM,PK,5,21,,36,,37,42,30,32,31,,,,,,,,,229,,229
5,AMHERST CO PBLC SCHS,760,ELON ELEM,PK,5,,,13,,13,11,13,13,18,,,,,,,,,87,,87
5,AMHERST CO PBLC SCHS,500,MADISON HEIGHTS ELEM,PK,5,47,,54,,49,51,60,52,59,,,,,,,,,372,,372
5,AMHERST CO PBLC SCHS,20,MONELISON MIDDLE,6,8,,,,,,,,,,99,86,94,,,,,,279,,279
5,AMHERST CO PBLC SCHS,240,PLEASANT VIEW ELEM,PK,5,,,,,,,,,,,,,,,,,,18,,18
5,AMHERST CO PBLC SCHS,740,TEMPERANCE ELEM,PK,5,,,,,,,,,10,,,,,,,,,38,,38
6,APPOMATTOX CO PBLC SCHS,260,APPOMATTOX COUNTY HIGH,9,12,,,,,,,,,,,,,73,65,74,66,,278,,278
6,APPOMATTOX CO PBLC SCHS,110,APPOMATTOX ELEM,3,5,,,,,,,91,85,78,,,,,,,,,254,,254
6,APPOMATTOX CO PBLC SCHS,160,APPOMATTOX MIDDLE,6,8,,,,,,,,,,60,74,76,,,,,,210,,210
6,APPOMATTOX CO PBLC SCHS,250,APPOMATTOX PRIMARY,PK,2,51,,67,,76,87,,,,,,,,,,,,281,,281
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,PK,5,25,,38,,50,46,47,57,37,,,,,,,,,300,,300
7,ARLINGTON CO PBLC SCHS,618,ARLINGTON COMMUNITY HIGH ,9,12,,,,,,,,,,,,,,17,12,30,,64,,64
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,PK,5,14,,13,,27,28,22,18,19,,,,,,,,,141,,141
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,PK,5,29,,19,,17,15,12,15,12,,,,,,,,,119,,119
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,PK,5,13,,18,,21,27,21,15,22,,,,,,,,,137,,137
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,PK,5,35,,31,,35,49,31,41,46,,,,,,,,,268,,268
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,PK,5,42,,48,,46,45,43,58,34,,,,,,,,,316,,316
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,PK,5,44,,35,,34,33,36,34,30,,,,,,,,,246,,246
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,PK,5,58,,60,,79,71,78,82,68,,,,,,,,,496,,496
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,PK,5,23,,54,,32,44,63,52,48,,,,,,,,,316,,316
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,PK,5,10,,,,,,,,,,,,,,,,,22,,22
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,PK,5,69,,47,,50,63,54,47,45,,,,,,,,,375,,375
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,PK,5,27,,51,,53,43,61,38,46,,,,,,,,,319,,319
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,PK,5,,,22,,19,16,13,22,16,,,,,,,,,108,,108
7,ARLINGTON CO PBLC SCHS,611,GUNSTON MIDDLE,6,8,,,,,,,,,,124,137,100,,,,,,361,,361
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,PK,5,21,,32,,36,28,36,30,31,,,,,,,,,214,,214
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,PK,5,83,,26,,41,36,41,44,30,,,,,,,,,301,,301
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,PK,5,12,,,,,,,,,,,,,,,,,14,,14
7,ARLINGTON CO PBLC SCHS,180,JEFFERSON MIDDLE,6,8,,,,,,,,,,160,156,136,,,,,,452,,452
7,ARLINGTON CO PBLC SCHS,500,KENMORE MIDDLE,6,8,,,,,,,,,,185,148,179,,,,,,512,,512
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,PK,5,14,,30,,30,29,41,29,28,,,,,,,,,201,,201
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,PK,5,,,12,,,10,,11,,,,,,,,,,54,,54
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,KG,5,,,,,,,,,,,,,,,,,,19,,19
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,PK,5,11,,33,,27,31,49,32,40,,,,,,,,,223,,223
7,ARLINGTON CO PBLC SCHS,510,RANDOLPH ELEM,PK,5,40,,43,,55,55,47,60,50,,,,,,,,,350,,350
7,ARLINGTON CO PBLC SCHS,240,SWANSON MIDDLE,6,8,,,,,,,,,,55,71,50,,,,,,176,,176
7,ARLINGTON CO PBLC SCHS,420,TAYLOR ELEM,PK,5,,,,,,,,,,,,,,,,,,30,,30
7,ARLINGTON CO PBLC SCHS,211,TUCKAHOE ELEM,PK,5,,,,,,,,,,,,,,,,,,14,,14
7,ARLINGTON CO PBLC SCHS,450,WAKEFIELD HIGH,9,12,,,,,,,,,,,,,332,280,254,240,,1106,,1106
7,ARLINGTON CO PBLC SCHS,80,WASHINGTON LEE HIGH,9,12,,,,,,,,,,,,,221,254,247,202,,924,,924
7,ARLINGTON CO PBLC SCHS,480,WILLIAMSBURG MIDDLE,6,8,,,,,,,,,,52,42,48,,,,,,142,,142
7,ARLINGTON CO PBLC SCHS,330,YORKTOWN HIGH,9,12,,,,,,,,,,,,,79,84,72,80,,315,,315
8,AUGUSTA CO PBLC SCHS,210,BEVERLEY MANOR ELEM,PK,5,31,,24,,19,19,22,16,19,,,,,,,,,150,,150
8,AUGUSTA CO PBLC SCHS,212,BEVERLEY MANOR MIDDLE,6,8,,,,,,,,,,103,92,87,,,,,,282,,282
8,AUGUSTA CO PBLC SCHS,660,BUFFALO GAP HIGH,9,12,,,,,,,,,,,,,47,40,38,36,,161,,161
8,AUGUSTA CO PBLC SCHS,30,CASSELL ELEM,PK,5,47,,45,,33,37,41,42,31,,,,,,,,,276,,276
8,AUGUSTA CO PBLC SCHS,140,CHURCHVILLE ELEM,PK,5,16,,16,,,21,19,20,20,,,,,,,,,121,,121
8,AUGUSTA CO PBLC SCHS,370,CRAIGSVILLE ELEM,PK,5,15,,16,,10,10,22,10,,,,,,,,,,89,,89
8,AUGUSTA CO PBLC SCHS,842,EDWARD G CLYMORE ELEM,PK,5,31,,32,,31,38,31,43,30,,,,,,,,,236,,236
8,AUGUSTA CO PBLC SCHS,670,FT DEFIANCE HIGH,9,12,,,,,,,,,,,,,62,56,58,58,,234,,234
8,AUGUSTA CO PBLC SCHS,843,GUY K STUMP ELEM,PK,5,31,,,,18,19,16,19,14,,,,,,,,,125,,125
8,AUGUSTA CO PBLC SCHS,40,NORTH RIVER ELEM,PK,5,15,,,,12,15,15,16,17,,,,,,,,,98,,98
8,AUGUSTA CO PBLC SCHS,740,RIVERHEADS ELEM,PK,5,15,,29,,36,26,32,40,39,,,,,,,,,217,,217
8,AUGUSTA CO PBLC SCHS,680,RIVERHEADS HIGH,9,12,,,,,,,,,,,,,28,44,37,34,,143,,143
8,AUGUSTA CO PBLC SCHS,90,S GORDON STEWART MIDDLE,6,8,,,,,,,,,,61,66,68,,,,,,195,,195
8,AUGUSTA CO PBLC SCHS,440,STUARTS DRAFT ELEM,PK,5,31,,30,,40,41,43,58,42,,,,,,,,,285,,285
8,AUGUSTA CO PBLC SCHS,730,STUARTS DRAFT HIGH,9,12,,,,,,,,,,,,,64,50,35,47,,196,,196
8,AUGUSTA CO PBLC SCHS,60,STUARTS DRAFT MIDDLE,6,8,,,,,,,,,,66,73,60,,,,,,199,,199
8,AUGUSTA CO PBLC SCHS,710,VERONA ELEM,PK,5,16,,18,,21,31,29,33,20,,,,,,,,,168,,168
8,AUGUSTA CO PBLC SCHS,640,WILSON ELEM,PK,5,32,,35,,35,36,44,43,57,,,,,,,,,282,,282
8,AUGUSTA CO PBLC SCHS,720,WILSON MEMORIAL HIGH,9,12,,,,,,,,,,,,,70,56,45,50,,221,,221
8,AUGUSTA CO PBLC SCHS,844,WILSON MIDDLE,6,8,,,,,,,,,,75,75,65,,,,,,215,,215
9,BATH CO PBLC SCHS,140,BATH COUNTY HIGH,8,12,,,,,,,,,,,,18,16,13,24,21,,92,,92
9,BATH CO PBLC SCHS,120,MILLBORO ELEM,PK,7,12,,12,,15,,10,,12,,,,,,,,,95,,95
9,BATH CO PBLC SCHS,150,VALLEY ELEM,PK,7,12,,13,,11,12,15,15,,12,11,,,,,,,108,,108
10,BEDFORD CO PBLC SCHS,480,BEDFORD ELEM,2,5,,,,,,75,63,78,60,,,,,,,,,276,,276
10,BEDFORD CO PBLC SCHS,490,BEDFORD MIDDLE,6,8,,,,,,,,,,94,104,107,,,,,,305,,305
10,BEDFORD CO PBLC SCHS,1200,BEDFORD PRIMARY,PK,1,23,,77,,63,,,,,,,,,,,,,163,,163
10,BEDFORD CO PBLC SCHS,30,BIG ISLAND ELEM,PK,5,,,13,,11,14,12,,12,,,,,,,,,71,,71
10,BEDFORD CO PBLC SCHS,160,BOONSBORO ELEM,KG,5,,,,,,16,16,15,,,,,,,,,,71,,71
10,BEDFORD CO PBLC SCHS,500,FOREST ELEM,KG,5,,,,,,10,13,,,,,,,,,,,48,,48
10,BEDFORD CO PBLC SCHS,1211,FOREST MIDDLE,6,8,,,,,,,,,,67,53,73,,,,,,193,,193
10,BEDFORD CO PBLC SCHS,1214,GOODVIEW ELEM,PK,5,12,,27,,41,38,33,51,47,,,,,,,,,249,,249
10,BEDFORD CO PBLC SCHS,980,HUDDLESTON ELEM,PK,5,,,25,,25,22,30,22,24,,,,,,,,,155,,155
10,BEDFORD CO PBLC SCHS,1212,JEFFERSON FOREST HIGH,9,12,,,,,,,,,,,,,61,49,50,44,,204,,204
10,BEDFORD CO PBLC SCHS,1180,LIBERTY HIGH,9,12,,,,,,,,,,,,,107,93,109,96,,405,,405
10,BEDFORD CO PBLC SCHS,970,MONETA ELEM,PK,5,12,,23,,19,21,20,23,34,,,,,,,,,152,,152
10,BEDFORD CO PBLC SCHS,180,MONTVALE ELEM,PK,5,12,,19,,22,27,28,19,33,,,,,,,,,160,,160
10,BEDFORD CO PBLC SCHS,610,NEW LONDON ACADEMY ELEM,PK,5,12,,,,10,,13,20,14,,,,,,,,,82,,82
10,BEDFORD CO PBLC SCHS,1170,OTTER RIVER ELEM,PK,5,,,13,,11,,10,,11,,,,,,,,,65,,65
10,BEDFORD CO PBLC SCHS,1190,STAUNTON RIVER HIGH,9,12,,,,,,,,,,,,,127,94,115,96,,432,,432
10,BEDFORD CO PBLC SCHS,1191,STAUNTON RIVER MIDDLE,6,8,,,,,,,,,,129,131,127,,,,,,387,,387
10,BEDFORD CO PBLC SCHS,640,STEWARTSVILLE ELEM,PK,5,12,,38,,34,38,34,32,35,,,,,,,,,223,,223
10,BEDFORD CO PBLC SCHS,1213,THOMAS JEFFERSON ELEM,PK,5,,,16,,24,24,25,24,24,,,,,,,,,139,,139
11,BLAND CO PBLC SCHS,250,BLAND COUNTY ELEM,PK,6,,,15,,20,18,25,27,21,31,,,,,,,,160,,160
11,BLAND CO PBLC SCHS,260,BLAND COUNTY HIGH,7,12,,,,,,,,,,,23,31,19,30,15,14,,132,,132
12,BOTETOURT CO PBLC SCHS,220,BRECKINRIDGE ELEM,PK,5,,,,,,10,12,,,,,,,,,,,49,,49
12,BOTETOURT CO PBLC SCHS,20,BUCHANAN ELEM,PK,5,14,,,,23,23,14,16,25,,,,,,,,,124,,124
12,BOTETOURT CO PBLC SCHS,420,CENTRAL ACADEMY MIDDLE,6,8,,,,,,,,,,44,25,37,,,,,,106,,106
12,BOTETOURT CO PBLC SCHS,390,CLOVERDALE ELEM,KG,5,,,,,10,,,,,,,,,,,,,42,,42
12,BOTETOURT CO PBLC SCHS,400,COLONIAL ELEM,PK,5,,,21,,17,19,11,15,20,,,,,,,,,107,,107
12,BOTETOURT CO PBLC SCHS,30,EAGLE ROCK ELEM,PK,5,,,,,,11,,,,,,,,,,,,55,,55
12,BOTETOURT CO PBLC SCHS,460,GREENFIELD ELEM,PK,5,,,18,,19,21,19,19,14,,,,,,,,,115,,115
12,BOTETOURT CO PBLC SCHS,430,JAMES RIVER HIGH,9,12,,,,,,,,,,,,,43,34,27,22,,126,,126
12,BOTETOURT CO PBLC SCHS,440,LORD BOTETOURT HIGH,9,12,,,,,,,,,,,,,45,32,38,31,,146,,146
12,BOTETOURT CO PBLC SCHS,450,READ MOUNTAIN MIDDLE,6,8,,,,,,,,,,61,45,43,,,,,,149,,149
12,BOTETOURT CO PBLC SCHS,40,TROUTVILLE ELEM,PK,5,,,10,,18,10,,13,17,,,,,,,,,78,,78
102,BRISTOL CITY PUBLIC SCHOOLS,60,HIGHLAND VIEW ELEM,PK,5,,,18,,29,20,21,17,26,,,,,,,,,135,,135
102,BRISTOL CITY PUBLIC SCHOOLS,100,JOSEPH VAN PELT ELEM,PK,5,14,,35,,35,31,35,26,34,,,,,,,,,210,,210
102,BRISTOL CITY PUBLIC SCHOOLS,70,STONEWALL JACKSON ELEM,PK,5,14,,19,,20,26,32,31,27,,,,,,,,,169,,169
102,BRISTOL CITY PUBLIC SCHOOLS,80,VIRGINIA HIGH,9,12,,,,,,,,,,,,,98,104,70,82,,354,,354
102,BRISTOL CITY PUBLIC SCHOOLS,10,VIRGINIA MIDDLE,6,8,,,,,,,,,,73,84,73,,,,,,230,,230
102,BRISTOL CITY PUBLIC SCHOOLS,90,WASHINGTON LEE ELEM,PK,5,,,20,,28,18,15,15,15,,,,,,,,,115,,115
13,BRUNSWICK CO PBLC SCHS,650,BRUNSWICK HIGH,9,12,,,,,,,,,,,,,56,38,41,31,,166,,166
13,BRUNSWICK CO PBLC SCHS,660,JAMES S RUSSELL MIDDLE,6,8,,,,,,,,,,59,61,54,,,,,,174,,174
13,BRUNSWICK CO PBLC SCHS,690,MEHERRIN POWELLTON ELEM,PK,5,,,15,,13,22,25,24,18,,,,,,,,,126,,126
13,BRUNSWICK CO PBLC SCHS,700,RED OAK-STURGEON ELEM,PK,5,18,,15,,24,21,16,15,13,,,,,,,,,122,,122
13,BRUNSWICK CO PBLC SCHS,720,TOTARO ELEM,PK,5,17,,31,,39,31,27,20,23,,,,,,,,,188,,188
14,BUCHANAN CO PBLC SCHS,90,COUNCIL ELEM/MIDDLE,PK,7,12,,25,,20,22,37,16,27,27,26,,,,,,,212,,212
14,BUCHANAN CO PBLC SCHS,1000,COUNCIL HIGH,8,12,,,,,,,,,,,,26,17,22,18,23,,106,,106
14,BUCHANAN CO PBLC SCHS,990,GRUNDY HIGH,9,12,,,,,,,,,,,,,72,78,75,66,,291,,291
14,BUCHANAN CO PBLC SCHS,120,HURLEY ELEM/MIDDLE,PK,7,,,41,,39,48,36,31,53,40,47,,,,,,,343,,343
14,BUCHANAN CO PBLC SCHS,1020,HURLEY HIGH,8,12,,,,,,,,,,,,41,49,36,42,36,,204,,204
14,BUCHANAN CO PBLC SCHS,20,JM BEVINS ELEM,PK,5,13,,17,,11,13,,12,13,,,,,,,,,88,,88
14,BUCHANAN CO PBLC SCHS,1040,RIVERVIEW ELEM/MIDDLE,PK,8,24,,42,,52,48,56,55,44,61,73,49,,,,,,504,,504
14,BUCHANAN CO PBLC SCHS,1041,TWIN VALLEY ELEM/MIDDLE,PK,7,,,29,,29,34,28,35,39,38,31,,,,,,,267,,267
14,BUCHANAN CO PBLC SCHS,1042,TWIN VALLEY HIGH,8,12,,,,,,,,,,,,39,32,27,41,30,,169,,169
15,BUCKINGHAM CO PBLC SCHS,724,BUCKINGHAM CO ELEM,3,5,,,,,,,111,107,98,,,,,,,,,316,,316
15,BUCKINGHAM CO PBLC SCHS,20,BUCKINGHAM CO PRE SCH CTR,PK,PK,71,,,,,,,,,,,,,,,,,71,,71
15,BUCKINGHAM CO PBLC SCHS,723,BUCKINGHAM CO PRIMARY,KG,2,,,91,,109,107,,,,,,,,,,,,307,,307
15,BUCKINGHAM CO PBLC SCHS,721,BUCKINGHAM CO. MIDDLE,6,8,,,,,,,,,,108,80,99,,,,,,287,,287
15,BUCKINGHAM CO PBLC SCHS,700,BUCKINGHAM COUNTY HIGH,9,12,,,,,,,,,,,,,86,74,85,70,,315,,315
103,BUENA VISTA CITY PUBLIC SCHOOLS,40,ENDERLY HEIGHTS ELEM,3,5,,,,,,,41,40,32,,,,,,,,,113,,113
103,BUENA VISTA CITY PUBLIC SCHOOLS,70,FW KLING JR ELEM,PK,2,12,,39,,33,42,,,,,,,,,,,,126,,126
103,BUENA VISTA CITY PUBLIC SCHOOLS,62,PARRY MCCLUER HIGH,8,12,,,,,,,,,,,,31,27,34,20,27,,139,,139
103,BUENA VISTA CITY PUBLIC SCHOOLS,61,PARRY MCCLUER MIDDLE,6,7,,,,,,,,,,50,31,,,,,,,81,,81
16,CAMPBELL CO PBLC SCHS,560,ALTAVISTA ELEM,PK,5,24,,46,,44,39,56,57,37,,,,,,,,,303,,303
16,CAMPBELL CO PBLC SCHS,200,ALTAVISTA HIGH,6,12,,,,,,,,,,43,51,39,55,40,39,33,,300,,300
16,CAMPBELL CO PBLC SCHS,650,BROOKNEAL ELEM,PK,5,25,,36,,36,28,48,36,35,,,,,,,,,244,,244
16,CAMPBELL CO PBLC SCHS,720,BROOKVILLE HIGH,9,12,,,,,,,,,,,,,66,64,59,53,,242,,242
16,CAMPBELL CO PBLC SCHS,20,BROOKVILLE MIDDLE,6,8,,,,,,,,,,83,94,59,,,,,,236,,236
16,CAMPBELL CO PBLC SCHS,130,CONCORD ELEM,PK,5,21,,21,,34,27,27,31,30,,,,,,,,,191,,191
16,CAMPBELL CO PBLC SCHS,690,LEESVILLE ROAD ELEM,PK,5,19,,42,,40,35,51,44,40,,,,,,,,,271,,271
16,CAMPBELL CO PBLC SCHS,821,RUSTBURG ELEM,PK,5,29,,46,,38,40,46,42,43,,,,,,,,,284,,284
