Div. No.,Division Name,School No.,School Name,Low Grade,High Grade,Grade PK,Grade JK,Grade KG,Grade T1,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade PG,Total Full-Time,Part-time Students,Total
14,BUCHANAN CO PBLC SCHS,90,COUNCIL ELEMENTARY/MIDDLE SCHOOL,PK,7,<,,<,,20,18,13,26,14,22,22,,,,,,,144,,144.00
14,BUCHANAN CO PBLC SCHS,1000,COUNCIL HIGH,8,12,,,,,,,,,,,,20,27,15,20,18,,100,,100.00
14,BUCHANAN CO PBLC SCHS,990,GRUNDY HIGH,9,12,,,,,,,,,,,,,56,100,103,103,,362,,362.00
14,BUCHANAN CO PBLC SCHS,120,HURLEY ELEMENTARY/MIDDLE,PK,7,,,17,,44,43,59,35,32,52,41,,,,,,,323,,323.00
14,BUCHANAN CO PBLC SCHS,1020,HURLEY HIGH,8,12,,,,,,,,,,,,43,43,47,32,37,,202,,202.00
14,BUCHANAN CO PBLC SCHS,20,J.M. BEVINS ELEMENTARY,PK,5,,,13,,16,<,10,<,10,,,,,,,,,65,,65.00
14,BUCHANAN CO PBLC SCHS,1040,RIVERVIEW ELEMENTARY/MIDDLE,PK,8,<,,29,,36,49,50,53,49,45,57,67,,,,,,438,,438.00
14,BUCHANAN CO PBLC SCHS,1041,TWIN VALLEY ELEMENTARY/MIDDLE,PK,7,,,<,,23,27,27,32,27,36,35,,,,,,,214,,214.00
14,BUCHANAN CO PBLC SCHS,1042,TWIN VALLEY HIGH,8,12,,,,,,,,,,,,29,37,29,25,40,,160,,160.00
15,BUCKINGHAM CO PBLC SCHS,724,BUCKINGHAM CO ELEM,3,5,,,,,,,99,96,99,,,,,,,,,294,,294.00
15,BUCKINGHAM CO PBLC SCHS,20,BUCKINGHAM CO PRE SCH CTR,PK,PK,58,,,,,,,,,,,,,,,,,58,,58.00
15,BUCKINGHAM CO PBLC SCHS,723,BUCKINGHAM CO PRIMARY,KG,2,,,79,,82,93,,,,,,,,,,,,254,,254.00
15,BUCKINGHAM CO PBLC SCHS,721,BUCKINGHAM CO. MIDDLE,6,8,,,,,,,,,,103,101,87,,,,,,291,,291.00
15,BUCKINGHAM CO PBLC SCHS,700,BUCKINGHAM COUNTY HIGH,9,12,,,,,,,,,,,,,110,93,79,80,,362,,362.00
103,BUENA VISTA CITY PUBLIC SCHOOLS,40,ENDERLY HEIGHTS ELEM,3,5,,,,,,,44,40,36,,,,,,,,,120,,120.00
103,BUENA VISTA CITY PUBLIC SCHOOLS,70,FW KLING JR ELEM,PK,2,12,,16,,39,34,,,,,,,,,,,,101,,101.00
103,BUENA VISTA CITY PUBLIC SCHOOLS,62,PARRY MCCLUER HIGH,8,12,,,,,,,,,,,,39,37,29,42,23,,170,,170.00
103,BUENA VISTA CITY PUBLIC SCHOOLS,61,PARRY MCCLUER MIDDLE,6,7,,,,,,,,,,40,53,,,,,,,93,,93.00
16,CAMPBELL CO PBLC SCHS,560,ALTAVISTA ELEM,PK,5,25,,35,,46,46,47,63,57,,,,,,,,,319,,319.00
16,CAMPBELL CO PBLC SCHS,200,ALTAVISTA HIGH,6,12,,,,,,,,,,49,43,48,48,44,42,39,,313,,313.00
16,CAMPBELL CO PBLC SCHS,650,BROOKNEAL ELEM,PK,5,18,,30,,37,30,30,51,41,,,,,,,,,237,,237.00
16,CAMPBELL CO PBLC SCHS,720,BROOKVILLE HIGH,9,12,,,,,,,,,,,,,62,77,66,67,,272,,272.00
